,fullAddress,addressID
357885,20  THE NOOK ,8525364431054349418
358022,"SPRING WORKS, 120F FLAT 2 BROOMSPRING LANE ",263199135672051803
358842,92  BATES STREET ,7662851125126980607
358867,24  ENDCLIFFE GROVE AVENUE ,8205571079419636086
358872,7  MIDFIELD ROAD ,4265670958622082142
359124,32  WESLEY LANE ,4920623551882479107
360766,103  MANCHESTER ROAD ,6551795458424917911
360769,54  RINGSTEAD CRESCENT ,1885700658883100943
362754,24  THE NOOK ,5272418245336043250
362762,STORTHWOOD COURT 60 STORTH LANE ,5448412493038027120
362790,286  SCHOOL ROAD ,1634436416042048707
364768,248  SPRINGVALE ROAD ,4502310123334343074
364774,232  COBDEN VIEW ROAD ,3997527379336722186
367588,19  NORTHFIELD ROAD ,2183471515952706205
369053,33  RAMSEY ROAD ,1692272365257926266
369056,21  MARLBOROUGH ROAD ,4841846530137671702
369061,13  ST THOMAS ROAD ,7099516219468235345
369120,AVENUE COURT FLAT 6 GRAHAM ROAD ,1335936137111351801
370331,DALEBROOK COURT 20 BELGRAVE ROAD ,1404126383160702247
370557,"KING COURT, 358 FLAT 31 MANCHESTER ROAD ",6186115278929258539
370579,BINGHAM COURT 14 GRAHAM ROAD ,5753700561773014539
371826,30  CARDONESS ROAD ,1139035766351745244
372045,"1 COBDEN VIEW MEWS, 208  COBDEN VIEW ROAD ",7560235305533273238
373084,39  ST FRANCIS CLOSE ,2979361054776833793
373537,469  MANCHESTER ROAD ,7352801012480837628
373582,19  CARDONESS ROAD ,7833083946278163511
376085,16  HALLAM GRANGE ROAD ,7932677715955031012
387434,40  ALDRED ROAD ,4613986040672036725
387442,74  BROOKLANDS CRESCENT ,7139998993238477586
387482,40  BOLE HILL LANE ,4113427403839532436
387692,23  BOSVILLE ROAD ,6880969681510639472
387698,STORTHWOOD COURT 57 STORTH LANE ,5057731462348306040
387714,SALEHILL CLOSE FLAT 1 SALE HILL ,6701437451696935836
387766,8  TAPTONVILLE COURT ,1652845119696413197
388120,4  STUMPERLOWE VIEW ,8694993994351172997
388154,138  CRIMICAR LANE ,2337732577642433428
388344,15  ELGIN STREET ,4433873634953000119
388364,23  EVELYN ROAD ,7782627090623921406
388493,58  MELBOURN ROAD ,105122738800332989
388778,44  WINCHESTER AVENUE ,3203582894868434260
388900,70  BOWER ROAD ,4564345066126833379
388934,124  BLAKENEY ROAD ,9181680837265198254
389156,221  HEAVYGATE ROAD ,8690304908246308262
389157,14  CANTERBURY CRESCENT ,559220182326142316
389573,176  COBDEN VIEW ROAD ,7282461093239273558
389586,123  NORTHFIELD ROAD ,8980458458753352949
389819,8  TAPTON MOUNT CLOSE ,7400462485454530388
390067,46  WESTON VIEW ,3316300471984515487
390071,72  BOWER ROAD ,7398016381686350462
390128,9  ST ALBANS CLOSE ,5058715448536990033
390265,111  SLINN STREET ,880478191286672485
390270,29  MOORSYDE AVENUE ,3641976299343021481
390360,11  RYEGATE ROAD ,3777329260289958854
390379,103  DUNCAN ROAD ,5521395344342840259
390404,54  WINCHESTER ROAD ,1333269069067889400
390434,305 FLAT 5 FULWOOD ROAD ,2085466321603834169
390444,10  BARNFIELD ROAD ,2730375946438838381
390493,10  THE GLEN ,5136008732648713149
390529,16  EVELYN ROAD ,7007942265850112296
390531,AINSLEY COURT 1D AINSLEY ROAD ,1624594590139514775
391535,18  BRIGHTON TERRACE ROAD ,5865966331557997688
391541,33  FORRES AVENUE ,1718625835888207312
396066,"UNDERBANK HOUSE, 6 APARTMENT 12 HOLYROOD AVENUE ",1695965623934819550
398369,9  MOOR END ROAD ,2315826806245238226
411418,128 - 130  CROOKES ,4325882682359431938
413261,11  ASHDELL ROAD ,8140832216625304818
413267,5  ROSA ROAD ,1982943266601015624
413271,86  SCHOOL GREEN LANE ,6611389309782182409
422728,CONGREGATIONAL CHURCH  SPRINGVALE ROAD ,8871978494506545771
439975,89  DUNCAN ROAD ,3340110786992406336
441153,12  WESTOVER ROAD ,744534319061803377
441156,10  STEPHEN DRIVE ,7303937456654753512
451782,78  BRUNSWICK STREET ,1485756229901272281
457043,7  SALE HILL ,828403449460559472
460781,4  GLADSTONE MEWS ,45742362817093328
461705,315  CROOKESMOOR ROAD ,8222427161968529534
461712,16  BRIGHTON TERRACE ROAD ,6682064725490307278
462540,15  ALDRED ROAD ,6982613851097790030
462622,3  WARWICK TERRACE ,2987582045512671326
462623,79  SPOONER ROAD ,3582305327062580091
462843,248  FULWOOD ROAD ,8140088871297928492
464117,2  RUTH SQUARE ,3791099825534504876
464126,"FAIRFIELD HEIGHTS, 274 10 FULWOOD ROAD ",7784526776517438420
464134,22  WILKINSON STREET ,5022950629714981958
464142,11  LAWSON ROAD ,8054749495998404061
473690,71  EVELYN ROAD ,4098715776510371475
474717,24  BROOMHALL ROAD ,6881609912354816672
474718,34  SACKVILLE ROAD ,2029984258606694364
474738,171  LYDGATE LANE ,3599357861753995398
477140,15  BEEHIVE ROAD ,2777653527038623552
480532,356  SCHOOL ROAD ,8200228301376428826
480534,99  WILLIAM STREET ,8564190492233113032
482141,321  SPRINGVALE ROAD ,6401691761821198561
523742,35  TOFTWOOD ROAD ,8868500759254134938
524138,ORIEL MOUNT 12A ORIEL ROAD ,5170882509236189971
542337,13  RYEGATE ROAD ,16444080289752214
542351,14  HALLAMGATE ROAD ,1113706521639850939
542677,15  TAPTONVILLE COURT ,3924229351020568044
546302,61  SEFTON COURT ,1437136677501065919
546307,5  TAPTON BANK ,7416124255591443207
550635,"RIVERDALE, 343 2 FULWOOD ROAD ",4651767085819947681
552610,10  CHICHESTER ROAD ,2824343445487414253
552630,"RIVERDALE, 343 9 FULWOOD ROAD ",3241980637984701546
554669,148  COMMONSIDE ,1394068895156299541
554703,40  SOUTHBOURNE ROAD ,2160099067358173257
554713,9  STONE DELF ,4341807297490855294
566615,176B  STANNINGTON VIEW ROAD ,7793736867277684719
567042,21  TAPTON MOUNT CLOSE ,8679757921169047468
569838,24  ASHDELL ROAD ,1315178844193143636
570239,"GRAHAM POINT, 405 APARTMENT 15 FULWOOD ROAD ",6457513477869143396
574727,RUSTLINGS COURT 15 GRAHAM ROAD ,7096610013844460532
574732,MAYFIELDS  BROOKHOUSE HILL ,1078832632350175154
575719,25  CARSICK VIEW ROAD ,4298271537411204828
576713,101  HALLAM GRANGE RISE ,3779462470769488519
576731,39  CAIRNS ROAD ,3459309698492058450
576735,84  HEAVYGATE ROAD ,755377703801736491
577572,122  GRAHAM ROAD ,9079041169197766876
577738,11  RANMOOR CHASE ,8434703878580377996
579130,"KERSAL LODGE, 115B APARTMENT 3 MANCHESTER ROAD ",2865909047217746088
579531,DALEBROOK COURT 32 STUMPERLOWE CRESCENT ROAD ,3676696951752983529
579535,40  FORRES AVENUE ,9159471862551365650
579727,159  CROSS LANE ,5313788750683173231
579958,21  ASHDELL ROAD ,7960153569425399627
579964,10  CARSICK VIEW ROAD ,1153274137568577758
581094,69  BRUNSWICK STREET ,7054226265684345178
581732,7  TOFTWOOD AVENUE ,1784558341773742754
581747,139  WESTERN ROAD ,2917377448477007451
581938,12  MOORSYDE AVENUE ,2847475256067260684
588378,"OAKBROOK COURT, 411 FLAT 4 FULWOOD ROAD ",5863235681858443951
588386,15  BOLE HILL LANE ,4634815032928043728
589478,"GRAINGER COURT, 235 FLAT 13 GRAHAM ROAD ",2799475150740616051
589482,42  TOYNE STREET ,3275010908286555503
590502,327  FULWOOD ROAD ,6796735669301384296
590504,57  SLAYLEIGH LANE ,8453288960453222218
591679,33  BLAKENEY ROAD ,2305223741951831718
591682,104  TOWNEND STREET ,7838601790208892574
593207,4  WORCESTER ROAD ,3807355811827491628
593231,142  CHORLEY ROAD ,1560693490925498216
594714,11  CHAPEL TERRACE ,7921722032724087729
599185,14  BOWER ROAD ,5630795223352626490
603529,18  PISGAH HOUSE ROAD ,5485437339596115370
608157,32  SPRING HILL ROAD ,1970521761450681241
669369,30  MOORSYDE AVENUE ,1902680792705436856
669383,78  SOUTHGROVE ROAD ,5501608436172041699
669524,DORCLIFFE LODGE 16 ENDCLIFFE GROVE AVENUE ,1272424523843571718
669525,DORCLIFFE LODGE 23 ENDCLIFFE GROVE AVENUE ,4014098285162626674
676736,27  BENTY LANE ,4666751507735884043
676743,37  SPRING HILL ROAD ,3888093200757965425
676745,15  MOORCROFT CLOSE ,7925932686823278507
